# IR (EU) 2025/2621 — DVs as adopted v2026-02-04 (India sheet)
# source: DVs as adopted_v20260204 .xlsx
id,section,cn_display,cn_norm,description,direct,indirect,total,marked_2026,marked_2027,marked_2028,markup_2026_pct,route_marker
76042990-39,Aluminium,76042990,76042990,Profiles,3.4435,,3.4435,3.7879,4.1322,4.4766,10,(K)
7605-40,Aluminium,7605,7605,Aluminium wire,2.594,,2.594,2.8534,3.1128,3.3722,10,(K)
7606-41,Aluminium,7606,7606,"Aluminium plates, sheets and strip, of a thickness exceeding 0,2 mm",4.126,,4.126,4.5386,4.9512,5.3638,10,(K)
7607-42,Aluminium,7607,7607,"Aluminium foil (whether or not printed or backed with paper, paperboard, plastics or similar backing materials) of a thickness (excluding any backing) not exceeding 0,2 mm",4.126,,4.126,4.5386,4.9512,5.3638,10,(K)
7608-43,Aluminium,7608,7608,Aluminium tubes and pipes,3.4435,,3.4435,3.7879,4.1322,4.4766,10,(K)
76090000-44,Aluminium,76090000,76090000,"Aluminium tube or pipe fittings (for example, couplings, elbows, sleeves)",3.4435,,3.4435,3.7879,4.1322,4.4766,10,(K)
76101000-45,Aluminium,76101000,76101000,"Doors, windows and their frames and thresholds for doors",3.4435,,3.4435,3.7879,4.1322,4.4766,10,(K)
761090-46,Aluminium,761090,761090,Other,3.4435,,3.4435,3.7879,4.1322,4.4766,10,(K)
76109010-47,Aluminium,76109010,76109010,"Bridges and bridge-sections, towers and lattice masts",3.4435,,3.4435,3.7879,4.1322,4.4766,10,(K)
76109090-48,Aluminium,76109090,76109090,Other,3.4435,,3.4435,3.7879,4.1322,4.4766,10,(K)
76110000-49,Aluminium,76110000,76110000,"Aluminium reservoirs, tanks, vats and similar containers, for any material (other than compressed or liquefied gas), of a capacity exceeding 300 litres, whether or not lined or heat-insulated, but not fitted with mechanical or thermal equipment",4.126,,4.126,4.5386,4.9512,5.3638,10,(K)
7612-50,Aluminium,7612,7612,"Aluminium casks, drums, cans, boxes and similar containers (including rigid or collapsible tubular containers), for any material (other than compressed or liquefied gas), of a capacity not exceeding 300 litres, whether or not lined or heat-insulated, but not fitted with mechanical or thermal equipment",4.126,,4.126,4.5386,4.9512,5.3638,10,(K)
76130000-51,Aluminium,76130000,76130000,Aluminium containers for compressed or liquefied gas,4.126,,4.126,4.5386,4.9512,5.3638,10,(K)
7614-52,Aluminium,7614,7614,"Stranded wire, cables, plaited bands and the like, of aluminium, not electrically insulated",3.4125,,3.4125,3.7538,4.095,4.4363,10,(K)
76161000-53,Aluminium,76161000,76161000,"Nails, tacks, staples (other than those of heading 8305), screws, bolts, nuts, screw hooks, rivets, cotters, cotter pins, washers and similar articles",4.126,,4.126,4.5386,4.9512,5.3638,10,(K)
76169100-54,Aluminium,76169100,76169100,"Cloth, grill, netting and fencing, of aluminium wire",4.126,,4.126,4.5386,4.9512,5.3638,10,(K)
76169910-55,Aluminium,76169910,76169910,Cast,3.0713,,3.0713,3.3784,3.6855,3.9926,10,(K)
76169990-56,Aluminium,76169990,76169990,Other,4.126,,4.126,4.5386,4.9512,5.3638,10,(K)
28041000-57,Hydrogen,2804 10 00,28041000,Hydrogen,14.03,,14.03,15.433,16.836,18.239,10,
26011200-58,Iron & Steel,2601 12 00,26011200,Agglomerated iron ores and concentrates (excl. roasted iron pyrites),0.29,0.05,0.34,0.374,0.408,0.442,10,
7201-59,Iron & Steel,7201,7201,"Pig iron and spiegeleisen, in pigs, blocks or other primary forms",2.53,,2.53,2.783,3.036,3.289,10,
720211-60,Iron & Steel,7202 11,720211,"Ferro-manganese, containing by weight > 2% of carbon",1.69,,1.69,1.859,2.028,2.197,10,
720219-61,Iron & Steel,7202 19,720219,"Ferro-manganese, containing by weight <= 2% carbon",5.59,,5.59,6.149,6.708,7.267,10,
720241-62,Iron & Steel,7202 41,720241,"Ferro-chromium, containing by weight > 4% of carbon",2.35,,2.35,2.585,2.82,3.055,10,
72026000-63,Iron & Steel,7202 60 00,72026000,Ferro-nickel,3.48,,3.48,3.828,4.176,4.524,10,
7203-64,Iron & Steel,7203,7203,"Ferrous products obtained by direct reduction of iron ore and other spongy ferrous products, in lumps, pellets or similar forms; iron having a minimum purity by weight of 99,94%, in lumps, pellets or similar forms",4.2,,4.2,4.62,5.04,5.46,10,
7205-65,Iron & Steel,7205,7205,"Granules and powders of pig iron, spiegeleisen, iron or steel (excl. granules and powders of ferro-alloys, turnings and filings of iron or steel, radioactive iron powders ""isotopes"" and certain low-calibre, substandard balls for ballbearings)",2.54,,2.54,2.794,3.048,3.302,10,(C)
72061000-66,Iron & Steel,7206 10 00,72061000,"Ingots, of iron and non-alloy steel (excl. remelted scrap ingots, continuous cast products, iron of heading 7203)",2.64,,2.64,2.904,3.168,3.432,10,(C)
72069000-67,Iron & Steel,7206 90 00,72069000,"Iron and non-alloy steel, in puddled bars or other primary forms (excl. ingots, remelted scrap ingots, continuous cast products, iron of heading 7203)",2.64,,2.64,2.904,3.168,3.432,10,(C)
72071111-68,Iron & Steel,7207 11 11,72071111,"Semi-finished products, of non-alloy free-cutting steel, containing by weight < 0,25% carbon, of square or rectangular cross-section, the width < twice the thickness, rolled or obtained by continuous casting",4.27,,4.27,4.697,5.124,5.551,10,(C)
72071114-69,Iron & Steel,7207 11 14,72071114,"Semi-finished products, of iron or non-alloy steel, containing by weight < 0,25% carbon, of square or rectangular cross-section, the width < twice the thickness of <= 130 mm, rolled or obtained by continuous casting (excl. free-cutting steel)",4.27,,4.27,4.697,5.124,5.551,10,(C)
72071116-70,Iron & Steel,7207 11 16,72071116,"Semi-finished products, of iron or non-alloy steel, containing by weight < 0,25% carbon, of square or rectangular cross-section, the width < twice the thickness of > 130 mm, rolled or obtained by continuous casting (excl. free-cutting steel)",4.27,,4.27,4.697,5.124,5.551,10,(C)
72071190-71,Iron & Steel,7207 11 90,72071190,"Semi-finished products of iron or non-alloy steel, containing by weight < 0,25% carbon, of rectangular cross-section, the width < twice the thickness, forged",4.32,,4.32,4.752,5.184,5.616,10,(C)
72071210-72,Iron & Steel,7207 12 10,72071210,"Semi-finished products of iron or non-alloy steel, containing by weight < 0,25 of carbon, of rectangular ""other than square"" cross-section, the width measuring >= twice the thickness, rolled or obtained by continuous casting",4.27,,4.27,4.697,5.124,5.551,10,(C)
72071290-73,Iron & Steel,7207 12 90,72071290,"Semi-finished products of iron or non-alloy steel, containing by weight < 0,25% carbon, of rectangular ""other than square"" cross-section, the width >= twice the thickness, forged",4.32,,4.32,4.752,5.184,5.616,10,(C)
72071912-74,Iron & Steel,7207 19 12,72071912,"Semi-finished products, of iron or non-alloy steel, containing by weight < 0,25% carbon, of circular or polygonal cross-section, rolled or obtained by continuous casting",4.27,,4.27,4.697,5.124,5.551,10,(C)
72071919-75,Iron & Steel,7207 19 19,72071919,"Semi-finished products of iron or non-alloy steel, containing by weight < 0,25% carbon, of circular or polygonal cross-section, forged",4.32,,4.32,4.752,5.184,5.616,10,(C)
72071980-76,Iron & Steel,7207 19 80,72071980,"Semi-finished products of iron or non-alloy steel, containing by weight < 0,25% carbon (excl. semi-products, of square, rectangular, circular or polygonal cross-section)",4.27,,4.27,4.697,5.124,5.551,10,(C)
72072011-77,Iron & Steel,7207 20 11,72072011,"Semi-finished products, of non-alloy free-cutting steel, containing by weight >= 0,25% carbon, of square or rectangular cross-section, the width < twice the thickness, rolled or obtained by continuous casting",4.27,,4.27,4.697,5.124,5.551,10,(C)
72072015-78,Iron & Steel,7207 20 15,72072015,"Semi-finished products of iron or non-alloy steel, containing by weight >= 0,25% but < 0,6% carbon, of square or rectangular cross-section, the width < twice the thickness, rolled or obtained by continuous casting (excl. free-cutting steel)",4.27,,4.27,4.697,5.124,5.551,10,(C)
72072017-79,Iron & Steel,7207 20 17,72072017,"Semi-finished products of iron or non-alloy steel, containing by weight >= 0,6% carbon, of square or rectangular cross-section, the width < twice the thickness, rolled or obtained by continuous casting (excl. free-cutting steel)",4.27,,4.27,4.697,5.124,5.551,10,(C)
72072019-80,Iron & Steel,7207 20 19,72072019,"Semi-finished products of iron or non-alloy steel, containing by weight >= 0,25% carbon, of square or rectangular cross-section, the width < twice the thickness, forged",4.32,,4.32,4.752,5.184,5.616,10,(C)
72072032-81,Iron & Steel,7207 20 32,72072032,"Semi-finished products of iron or non-alloy steel, containing by weight >= 0,25 of carbon, of rectangular ""other than square"" cross-section, the width measuring >= twice the thickness, rolled or obtained by continuous casting",4.27,,4.27,4.697,5.124,5.551,10,(C)
72072039-82,Iron & Steel,7207 20 39,72072039,"Semi-finished products of iron or non-alloy steel, containing by weight >= 0,25% carbon, of rectangular ""other than square"" cross-section and the width >= twice the thickness, forged",4.32,,4.32,4.752,5.184,5.616,10,(C)
72072052-83,Iron & Steel,7207 20 52,72072052,"Semi-finished products of iron or non-alloy steel, containing by weight >= 0,25% carbon, of circular or polygonal cross-section, rolled or obtained by continuous casting",4.27,,4.27,4.697,5.124,5.551,10,(C)
72072059-84,Iron & Steel,7207 20 59,72072059,"Semi-finished products of iron or non-alloy steel, containing by weight >= 0,6% carbon, of circular or polygonal cross-section, forged",4.32,,4.32,4.752,5.184,5.616,10,(C)
72072080-85,Iron & Steel,7207 20 80,72072080,"Semi-finished products of iron or non-alloy steel, containing by weight >= 0,25% carbon (excl. those of square, rectangular, circular or polygonal cross-section)",4.27,,4.27,4.697,5.124,5.551,10,(C)
7208-86,Iron & Steel,7208,7208,"Flat-rolled products of iron or non-alloy steel, of a width >= 600 mm, hot-rolled, not clad, plated or coated",4.28,,4.28,4.708,5.136,5.564,10,(C)
7209-87,Iron & Steel,7209,7209,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, cold-rolled ""cold-reduced"", not clad, plated or coated",4.28,,4.28,4.708,5.136,5.564,10,(C)
7210-88,Iron & Steel,7210,7210,"Flat-rolled products of iron or non-alloy steel, of a width >= 600 mm, hot-rolled or cold-rolled ""cold-reduced"", clad, plated or coated",4.28,,4.28,4.708,5.136,5.564,10,(C)
72111300-89,Iron & Steel,7211 13 00,72111300,"Flat-rolled products of iron or non-alloy steel, simply hot-rolled on four faces or in a closed box pass, not clad, plated or coated, of a width of > 150 mm but < 600 mm and a thickness of >= 4 mm, not in coils, without patterns in relief, commonly known as ""wide flats""",4.28,,4.28,4.708,5.136,5.564,10,(C)
72111400-90,Iron & Steel,7211 14 00,72111400,"Flat-rolled products of iron or non-alloy steel, of a width < 600 mm, not further worked than hot-rolled, not clad, plated or coated, of a thickness of >= 4,75 mm (excl. ""wide flats"")",4.28,,4.28,4.708,5.136,5.564,10,(C)
72111900-91,Iron & Steel,7211 19 00,72111900,"Flat-rolled products of iron or non-alloy steel, of a width < 600 mm, simply hot-rolled, not clad, plated or coated, of a thickness < 4,75 mm (excl. ""wide flats"")",4.28,,4.28,4.708,5.136,5.564,10,(C)
721123-92,Iron & Steel,7211 23,721123,"Flat-rolled products of iron or non-alloy steel, of a width of < 600 mm, simply cold-rolled ""cold-reduced"", not clad, plated or coated, containing by weight < 0,25% of carbon",4.28,,4.28,4.708,5.136,5.564,10,(C)
72112900-93,Iron & Steel,7211 29 00,72112900,"Flat-rolled products of iron or non-alloy steel, of a width of < 600 mm, simply cold-rolled ""cold-reduced"", not clad, plated or coated, containing by weight >= 0,25% of carbon",4.28,,4.28,4.708,5.136,5.564,10,(C)
721190-94,Iron & Steel,7211 90,721190,"Flat-rolled products of iron or non-alloy steel, of a width of < 600 mm, hot-rolled or cold-rolled ""cold-reduced"" and further worked, but not clad, plated or coated",4.28,,4.28,4.708,5.136,5.564,10,(C)
7212-95,Iron & Steel,7212,7212,"Flat-rolled products of iron or non-alloy steel, of a width of < 600 mm, hot-rolled or cold-rolled ""cold-reduced"", clad, plated or coated",4.28,,4.28,4.708,5.136,5.564,10,(C)
